,runid,scenario,"LSB DIN,Net Load (Mg/d)","LSB NH4,dMinOONS12 (Mg/d)",LSB dMinOONS12 / Net Load,"SB_WB DIN,Net Load (Mg/d)","SB_WB NH4,dMinOONS12 (Mg/d)",SB_WB dMinOONS12 / Net Load,"Central_Bay_WB DIN,Net Load (Mg/d)","Central_Bay_WB NH4,dMinOONS12 (Mg/d)",Central_Bay_WB dMinOONS12 / Net Load,"San_Pablo_Bay DIN,Net Load (Mg/d)","San_Pablo_Bay NH4,dMinOONS12 (Mg/d)",San_Pablo_Bay dMinOONS12 / Net Load,"Suisun_Bay DIN,Net Load (Mg/d)","Suisun_Bay NH4,dMinOONS12 (Mg/d)",Suisun_Bay dMinOONS12 / Net Load,"Whole_Bay DIN,Net Load (Mg/d)","Whole_Bay NH4,dMinOONS12 (Mg/d)",Whole_Bay dMinOONS12 / Net Load
0,FR22_046,Base Case,5.181813322580644,0.9940022451612904,0.19182517456384515,19.043168064516127,6.101775612903225,0.320418093892313,11.77483741935484,2.1573727741935484,0.18321890123488038,1.6200800000000002,3.4227288709677417,2.11269126892977,4.212165548387097,1.185689741935484,0.28149172398732114,41.83206483870968,13.861569677419357,0.3313623109656406
1,FR22_033,BACWA annual,5.722501419354838,0.7743071709677418,0.13530921431471452,11.563959032258065,4.756116903225807,0.4112879412628887,6.112957548387097,1.6808375806451614,0.2749630710405719,1.436655387096774,2.6672232903225797,1.8565505091047376,2.15885170967742,0.924732,0.4283443813462183,26.99492548387097,10.803216451612906,0.4001943423799282
2,FR22_034,45% annual,2.8499965806451626,0.5476171,0.1921465814095939,10.473742258064515,3.3673602580645157,0.3215049764540209,6.476161483870967,1.1893142258064515,0.1836449305299855,1.1068078387096774,1.887778322580645,1.7056062096392697,2.5427541935483875,0.6555309870967743,0.25780352216506913,23.449461612903225,7.6476010322580645,0.32613119902292004
3,FR22_035,50% annual,2.590904387096774,0.4980066967741936,0.1922134600004413,9.521584354838708,3.0634328064516128,0.32173561586888927,5.887418451612905,1.0817248387096776,0.1837350016140488,1.0497777451612904,1.717193709677419,1.6357688259180854,2.3572635483870967,0.5966128516129032,0.25309552341787234,21.406948387096776,6.956970903225806,0.3249865780691647
4,FR22_036,55% annual,2.331818129032258,0.44839619032258077,0.19229466686952656,8.56942493548387,2.75944093548387,0.32201004807892153,5.298677580645161,0.974115164516129,0.18384118484097722,0.9927475387096772,1.5466096451612903,1.55790831490904,2.1717736451612906,0.5376966387096773,0.24758410707656614,19.36444096774194,6.266258451612902,0.323596145225751
5,FR22_037,60% annual,2.0727246129032255,0.3987808032258064,0.19239449406028028,7.617266903225806,2.455429193548387,0.32235042105568695,4.709935483870967,0.866520887096774,0.18397723069968766,0.9357173258064517,1.3760352903225808,1.470567288188919,1.9862834838709678,0.47877996774193554,0.2410431197911717,17.321928387096776,5.575546000000001,0.32187790385701304
