polygon,dMdt(bal)/dMdt(con)
0,10.077728003534494
1,10.011681245390143
2,10.016546045500062
3,10.008537298583738
4,10.052917730030877
5,10.075849271084786
6,10.002463822774212
7,10.032026778202928
8,10.04191274300272
9,10.042352637715057
10,10.225679876723607
11,10.101127188830795
12,10.03345568723347
13,10.068234169513325
14,10.078762928480753
15,10.277484227914114
16,10.13588672518265
17,10.055074885564244
18,10.104550047686024
19,10.080027551614183
20,10.090721674361342
21,10.137976148644299
22,10.295677975856236
23,10.115363077130908
24,10.031101676487454
25,10.09146293100695
26,10.064591881033431
27,10.125987918939112
28,10.066760333784973
29,10.08442587149002
30,10.101360573072098
31,10.117797627885343
32,10.095537942844691
33,10.238433828739632
34,10.262386554819987
35,10.09339210176074
36,10.15388329659979
37,10.56890949517071
38,10.06871148292491
39,10.26022864904957
40,10.136439279279362
41,10.175343594107284
42,10.084821647992369
43,10.05560034852519
44,10.156221032018793
45,10.07301531299803
46,10.014119081932002
47,10.033314529548283
48,10.099649206850874
49,9.976180366075639
50,10.060447764863325
51,10.017123869537194
52,10.017078106459774
53,10.00830726343996
54,10.029235629655922
55,10.072166761472484
56,10.02232981620931
57,10.03542709936798
58,10.041425721197179
59,10.018284709050365
60,10.055474533168866
61,10.01874909605419
62,10.007791692484474
63,9.996263025825648
64,10.029198589131314
65,10.009599073128616
66,10.0255425018791
67,10.084009237443006
68,10.052378432251075
69,10.057485266586989
70,10.079979151594326
71,10.042352682457377
72,10.048681369014332
73,10.039352612240219
74,10.013762244968884
75,10.029117520800815
76,10.04480460684063
77,10.072803058269546
78,10.072775422005813
79,10.068454807852492
80,10.005112022874343
81,10.074219907036086
82,10.033813108091481
83,10.031507655336446
84,10.070748563049017
85,10.082959013929237
86,10.044357596472608
87,10.009353723962757
88,10.01310879640318
89,10.011130354414655
90,10.005412414999824
91,10.00682837068118
92,10.023753899587247
93,10.006137363888733
94,10.08002973661866
95,10.129808286561564
96,10.012432815758547
97,10.014244612648723
98,9.956418574909462
99,10.066748468316701
100,10.0676730269167
101,10.092931143716072
102,10.150911334923869
103,10.196805767152831
104,10.056612934583528
105,10.070409676033728
106,10.054513570431059
107,10.010779572493425
108,10.087179315011253
109,10.012337524221099
110,10.032063734161794
111,10.076487766063737
112,10.121344081302801
113,10.056946215158906
114,10.005085905334846
115,10.105879442201635
116,10.061825470436768
117,10.09152844950813
118,10.027131484919344
119,10.010351172708193
120,10.089708605873346
121,10.014681494459301
122,10.071769116418615
123,10.05242658786264
124,10.007833725405542
125,10.143881041979029
126,10.013400604183472
127,10.129761322364388
128,10.025160592292918
129,10.267694020874453
130,10.07134586970422
131,10.037961907014667
132,9.999892409203348
133,10.064989568548096
134,10.286907074526978
135,10.037253521615504
136,10.02302769289637
137,10.035151646904087
138,10.134372203522762
139,10.303773298452288
140,10.072665785975236
141,10.076820171368716
142,10.037079353838468
143,10.06382046014316
144,10.069098732745848
145,10.038192835025024
146,10.104277582264919
