polygon,dMdt(bal)/dMdt(con)
0,3.170704391125153
1,9.99349650777697
2,4.93908208216483
3,10.17702619928541
4,9.975394068607034
5,9.960428822483088
6,10.050312130652427
7,3.457879661073976
8,5.934889899464245
9,6.914565714569919
10,10.061181364736631
11,8.251372645618165
12,9.973967070443607
13,9.76975014502743
14,9.929394949786577
15,9.964871446089271
16,6.566072268751368
17,6.652504422749418
18,10.063134047257835
19,9.890351716481462
20,8.181765116377768
21,10.03076875035135
22,9.884258466276984
23,7.464025929866879
24,5.962895724542548
25,9.961960037971311
26,8.540646547794154
27,10.004311637963891
28,9.112749827826251
29,8.025319486998379
30,9.901982575887649
31,9.980204531050545
32,9.952982234739146
33,10.079324704699918
34,10.011606815117444
35,7.726566936640276
36,9.615037032969575
37,10.122789973248045
38,9.941282293818729
39,10.057105620584132
40,9.040091920717378
41,6.971493328312868
42,9.21067164946395
43,10.132055865454788
44,7.682553202787424
45,7.055797253980967
46,8.019548877578853
47,8.842214158697706
48,8.391666584685826
49,8.939220202645718
50,7.075894178484732
51,10.010076593231181
52,7.181344430214229
53,5.674529710238968
54,7.092974022851084
55,9.887670720945623
56,9.747693939920845
57,8.177092104539454
58,8.568448513325242
59,9.85411913159598
60,8.294163976530308
61,6.311525641755983
62,3.2501259004855334
63,7.574755079442394
64,10.367239174735804
65,7.782901129794236
66,9.699406990187377
67,9.902364412222504
68,7.942611322421316
69,7.279418022724294
70,7.6055866583995035
71,7.548971221918525
72,7.564591897060349
73,6.225058082064288
74,8.967719890970644
75,7.576184181978544
76,5.617744971626657
77,5.044186522458696
78,8.083412460614499
79,9.015684722319044
80,8.75630049559495
81,7.875242039603531
82,9.349617963598204
83,7.5991836768712995
84,9.459213776724514
85,9.524704879121277
86,9.765467535169984
87,5.868692436659989
88,9.316733191438074
89,9.012972278357072
90,9.542792216985445
91,10.04459815637721
92,8.873209999205411
93,9.025520051465286
94,7.654615165336726
95,9.68428182086636
96,8.497537516141964
97,10.038743714844161
98,10.092026575465542
99,7.416940950915701
100,6.449841739383039
101,9.242484760397103
102,10.029925987374565
103,10.101625039714204
104,9.89539128372462
105,10.49363987090276
106,8.611827207523826
107,10.105332030332967
108,5.24679656811713
109,10.009051219564732
110,6.724395512361059
111,8.976265677510522
112,8.617512457025954
113,9.819449366326504
114,8.538170786335753
115,7.131415197778711
116,9.967392110149547
117,9.138757460571297
118,9.807985504671239
119,9.641736954145088
120,7.542150575523609
121,9.589233828588341
122,9.58977192470217
123,9.998108874885876
124,8.053045401632705
125,9.827999039395348
126,8.80979958400993
127,9.849658649565002
128,9.704320336249157
129,8.369942697972736
130,9.448263766036447
131,9.643922119652425
132,9.557579497670694
133,9.60912151546186
134,10.204685066061908
135,9.044215946197825
136,0.9401016367284809
137,3.378314192982598
138,3.7798505219052143
139,2.2013680626463668
140,1.687480501388118
